iter	Passed	Remaining
0	2	2694
1	5	2505
2	7	2522
3	10	2495
4	12	2458
5	14	2419
6	16	2401
7	19	2416
8	22	2440
9	24	2422
10	26	2413
11	29	2406
12	31	2398
13	33	2388
14	36	2394
15	38	2398
16	41	2404
17	44	2404
18	46	2397
19	48	2395
20	51	2378
21	53	2368
22	55	2358
23	57	2353
24	60	2349
25	62	2345
26	64	2338
27	67	2329
28	69	2319
29	71	2310
30	73	2305
31	76	2305
32	78	2313
33	81	2307
34	83	2297
35	85	2302
36	88	2299
37	90	2301
38	93	2304
39	96	2311
40	98	2310
41	101	2310
42	103	2306
43	106	2305
44	109	2316
45	111	2320
46	114	2313
47	116	2315
48	119	2310
49	121	2303
50	123	2306
51	126	2310
52	129	2310
53	131	2309
54	134	2306
55	136	2303
56	139	2300
57	141	2303
58	144	2299
59	146	2296
60	149	2297
61	151	2297
62	154	2291
63	156	2290
64	159	2291
65	161	2290
66	164	2287
67	166	2283
68	168	2279
69	171	2279
70	173	2273
71	176	2273
72	178	2270
73	181	2268
74	183	2265
75	185	2259
76	187	2252
77	189	2244
78	192	2241
79	194	2237
80	196	2233
81	199	2228
82	201	2222
83	203	2217
84	205	2209
85	207	2203
86	209	2197
87	211	2196
88	214	2190
89	216	2185
90	218	2178
91	220	2175
92	222	2169
93	224	2163
94	226	2156
95	228	2151
96	230	2147
97	233	2146
98	235	2144
99	237	2141
100	240	2142
101	243	2140
102	245	2138
103	247	2132
104	249	2128
105	251	2121
106	253	2115
107	255	2109
108	257	2108
109	259	2102
110	261	2095
111	263	2089
112	265	2083
113	267	2076
114	269	2071
115	271	2065
116	272	2059
117	275	2056
118	277	2051
119	279	2048
120	281	2045
121	283	2041
122	286	2040
123	288	2035
124	290	2030
125	291	2024
126	293	2019
127	295	2015
128	297	2011
129	299	2006
130	301	2002
131	304	1999
132	306	1996
133	308	1991
134	310	1986
135	312	1982
136	314	1980
137	316	1978
138	318	1975
139	320	1971
140	323	1969
141	325	1965
142	327	1962
143	329	1959
144	331	1957
145	334	1956
146	336	1952
147	338	1949
148	340	1944
149	342	1939
150	344	1936
151	346	1932
152	348	1929
153	350	1927
154	352	1923
155	354	1919
156	356	1915
157	358	1911
158	360	1907
159	362	1903
160	364	1899
161	366	1896
162	368	1891
163	370	1889
164	372	1885
165	374	1881
166	376	1877
167	378	1874
168	380	1871
169	382	1867
170	384	1864
171	386	1861
172	388	1858
173	390	1855
174	393	1853
175	395	1850
176	397	1847
177	399	1844
178	401	1840
179	403	1837
180	405	1834
181	407	1830
182	409	1827
183	411	1823
184	413	1821
185	415	1817
186	417	1815
187	419	1811
188	421	1808
189	423	1804
190	425	1800
191	427	1797
192	429	1794
193	431	1792
194	433	1789
195	435	1787
196	437	1784
197	439	1780
198	441	1777
199	443	1774
200	445	1772
201	447	1769
202	450	1767
203	452	1764
204	454	1761
205	456	1758
206	458	1755
207	460	1751
208	461	1748
209	464	1745
210	466	1743
211	468	1740
212	470	1737
213	472	1734
214	474	1731
215	476	1727
216	478	1724
217	479	1721
218	482	1719
219	484	1716
220	486	1714
221	488	1711
222	490	1707
223	492	1704
224	494	1702
225	496	1699
226	498	1696
227	500	1693
228	502	1690
